rank,icp_fit,department,name,city,email,phone,website,apprentice_signal,size_signal,source_url,notes
1,high,77,PetVetClinic (Lieusaint),Lieusaint,accueil@petvetclinic.fr,01 60 64 17 13,https://www.petvetclinic-lieusaint.fr,"Two ASV (Mattéo, Leylou) listed as 'en apprentissage GIPSA' on the structure page — active apprentices.",12-person team explicitly listed on 'Notre structure' page: 6 vétérinaires + 6 ASV/support.,https://www.petvetclinic-lieusaint.fr/structure,"Best overall fit: 12 staff (multi-vet + multi-ASV), independent (self-managed via ChezMonVeto platform only, no group), trains apprentices via GIPSA. Email seen literally on fetched page."
2,high,94,Clinique Vétérinaire de la Tuilerie,Marolles-en-Brie,,01 43 86 13 13,https://www.veterinaire-marolles.fr,Team page lists 'Chloé - Apprentie GIPSA' (ASV apprentice via GIPSA) — explicit apprenticeship signal.,Official annuaire-entreprises (NAF 75.00Z) tranche 10-19 salariés. Own team page: 6 vets + 5 ASV + 1 apprentie = 12 staff. Full plateau technique.,https://www.veterinaire-marolles.fr/,"Independent SELARL, ~12 staff, registry-confirmed size, trains an ASV apprentice via GIPSA. enrich email via website."
3,high,95,"Clinique Vétérinaire des Étessiaux (Drs Seznec, Lobry, Roret, Lacourt)",Cergy,,,https://www.cliniqueveterinairedesetessiaux.com/,Own-site snippet references a member 'starting her ASV contract in alternation with her training' (ASV en alternance) plus another completing ASV training. Strong apprentice signal.,"4 named partner/associate vets + multiple ASV (Aurélie, Christelle, Angeline named). ~312 reviews on clinique.contact. Multi-partner SCM, clearly multi-vet.",https://clinique.contact/95-val-doise/cergy/clinique-veterinaire/598-clinique-veterinaire-des-etessiaux-docteurs-seznec-lobry-et-roret.html,"Independent named-partner SCM, not a corporate group, trains ASV in alternance. Own site returned ECONNREFUSED so phone/email not captured live; enrich via website/contact page."
4,high,95,Clinique Vétérinaire de Persan (LES CERISIERS),Persan,,01 34 70 92 19,https://www.vetopersan.fr/,Own site labels ASV Maxime as 'Apprenti GIPSA' (ASV en alternance) and Nantilde as 'ASV en formation'. Active apprentice training.,3 vets + 7 ASV (~10 staff) per the clinic's own équipe page.,https://www.vetopersan.fr/a-propos/equipe,"Independent, commercial name LES CERISIERS (shared with Evolia L'Isle-Adam — likely one independent owner, 2 sites). ~10 staff = mid-size sweet spot. enrich email via website."
5,high,91,Clinique vétérinaire du Clocher,Massy,,01 69 31 03 64,https://www.veterinaireduclocher.fr,Explicit on page: '2 assistantes supplémentaires en contrat d'apprentissage' and 'nos assistantes vétérinaires en formation'.,Team page: 4 vets named + '2 assistantes et 1 assistant à temps plein' + named trainees = ~9 staff. Own emergency line.,https://www.veterinaireduclocher.fr/veterinaire-clocher-massy-essonne/,"Bullseye ICP: independent mid-size, 4 vets, multiple ASV, actively trains apprentis/alternants. enrich email via website; address 6 place Victor Schoelcher, 91300 Massy."
6,high,94,Clinique Vétérinaire Véto 34 (SELARL Thierry Hazan et Associés),Le Perreux-sur-Marne,,01 48 71 34 34,https://www.veto34.com,Page mentions training apprentices as infirmières vétérinaires and accepting stagiaires; actively recruits students/nurses.,Official annuaire-entreprises (NAF 75.00Z) tranche 20-49 salariés. Team page: 4 vets + 5 ASV + admin + maintenance; profile states ~30 pros incl. 24/7 emergency team. Open 7j/7.,https://www.veto34.com/equipe-hazan_145.aspx?me=248,"Independent SELARL, registry-confirmed 20-49 salariés (upper edge of ICP), trains apprentices, companion animals + emergencies. enrich email via website."
7,high,78,Clinique Vétérinaire La Capside (DrV Bézanger & Pallavicini),Rambouillet (cabinet secondaire à Ablis),,01 30 41 77 00,http://www.lacapside.com,"Section 'DEVENIR STAGIAIRE' present in the site menus, suggests accueil de stagiaires/alternants.","5 vets + 5 ASV (~10) per the site's Équipe page. SELARL, 2 établissements (Rambouillet + Ablis). NAF 75.00Z, SIREN 539315929.",http://www.lacapside.com/veterinaire-rambouillet-ablis-equipe-asv-auxiliaire_192.aspx?me=184,"Ideal target: independent SELARL, ~10 mid-size, multi-site. Address 136 rue de la Louvière, 78120 Rambouillet. Some WebFetch attempts failed (socket); data via search cache + city/registry. enrich email via website."
8,high,78,Clinique Vétérinaire VPLUS de Saint-Germain-en-Laye,Saint-Germain-en-Laye,st-germain@vplus.fr,01 34 51 31 33,https://vplus.fr/nos-cliniques/saint-germain-en-laye/,,"8 vets + 7 ASV (~15) announced on the clinic page. Strong plateau technique (4 consult rooms, lab, digital radio, écho, 3 blocs chirurgicaux).",https://vplus.fr/nos-cliniques/saint-germain-en-laye/,"Mid-size ~15. VPLUS is a 100% vet-owned, non-financiarisé network (Xerfi / Dépêche Vétérinaire) — NOT one of the excluded groups. Caveat: it IS a multi-site network (22 structures), arbitrate vs strict-independence definition. Email seen on site."
9,high,78,Confluvet (cliniques Delaeter & Frontini),Conflans-Sainte-Honorine + Maurecourt-Andrésy,,01 39 72 86 50,https://confluvet.com,,"Independent 2-site group. ≥3-4 vets (Delaeter, Frontini, Pargamin, Tissier) + ASV. 436 Google reviews = high activity volume.",https://confluvet.com/,"Mid-size independent, no financial group identified, multi-site Conflans + Andrésy/Maurecourt. Address 1 rue Charles Bourseul, 78700. enrich email via website."
10,high,78,Clinique des Drs Pinhas et Pluchart (SELARL Pinhas Pluchart),Houilles,,,https://www.bdp-drs-veterinaires.com,,"3 vets (Pluchart, Pinhas, Meunier) + 5 ASV (~8). SELARL PINHAS PLUCHART, RCS Versailles 341 400 034 — independent. 4.5/5 on ~174 reviews.",https://clinique.contact/78-yvelines/houilles/clinique-veterinaire/1663-clinique-des-drs-pinhas-et-pluchart.html,"Ideal target: independent SELARL, ~8 (3 vets + 5 ASV), full plateau technique. enrich email + phone via website (bdp-drs-veterinaires.com)."
